Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
43,,2.16E-05,7.823994732,125.2349914,5.50E-17,0.597287549,Near Colorless,0.353683608,1.082689517,0.854998943,0.903953414,56.25783611,31.43100069,2.982039646,1.18E-09,186.8509602,Well,17.68592126,52.21837493,April,12,21,0
44,5.400852708,7.34E-14,5.739483277,177.3957467,1.95E-100,1.402137538,Light Yellow,0.345790886,0.116613835,0.294291419,,70.12855074,656.4330547,2.770273482,0.307490975,478.567391,River,29.37151015,61.40091034,September,10,15,0
45,6.618012549,2.24E-07,1.046327091,137.4009332,2.44E-81,0.571151437,Near Colorless,0.354691264,1.241010695,0.007896379,2.576545318,,742.4976032,2.33255204,0.002292164,383.813214,Ground,17.13186667,83.48746559,January,4,17,0
46,7.229062557,0.222329354,3.904145857,139.4062101,3.10E-165,4.959858004,Faint Yellow,0.006677891,0.998206346,0.043582834,0.827037792,106.5088707,649.4760082,2.902453635,5.70E-08,283.812106,Well,22.75208522,62.89846833,May,23,15,0
47,7.343266741,1.626815806,18.66937954,270.5479325,0.002362366,3.278110849,Yellow,1.007028733,1.137329332,0.151417002,3.54691663,114.9238111,371.5204022,3.372626682,0.003426948,227.7593416,Lake,24.50035289,,December,11,20,0
48,7.065222074,0.001928712,6.797827318,114.0046742,1.34E-76,1.161600317,Colorless,,0.03230651,0.832726154,0.299810367,158.5557094,430.8106018,4.056722037,1.34E-06,167.764076,Spring,19.95037436,35.63303503,November,15,19,0
49,6.546457093,0.025462043,8.355677281,186.5066515,1.79E-56,0.032896583,Colorless,0.009934222,,0.353091472,1.820009715,166.3761043,632.7802726,3.184865581,0.026314172,445.4997992,Reservoir,4.617923903,38.33696843,August,9,2,0
50,8.376142694,5.83E-08,4.262673396,140.7343782,8.43E-33,0.282348812,Near Colorless,0.721025884,1.260982341,0.427406712,1.348942986,107.0185378,318.860213,4.05758095,0.001148355,35.57655644,Aquifer,19.63447674,,December,13,0,0
51,7.745498519,0.011184352,7.693282694,92.05244402,8.54E-11,0.015601983,Colorless,0.202998425,1.801652773,0.400761646,2.882097908,119.8443989,1056.33614,3.106633644,0.005509587,194.8692376,River,6.304719221,61.49233834,June,29,18,0
52,8.460832637,0.019863369,8.601510936,134.2024284,1.17E-256,2.600727874,Faint Yellow,0.249098381,0.515965412,0.16954337,0.011934477,190.0310968,382.4391269,2.494293375,5.71E-10,13.92561402,Aquifer,7.611181395,82.67430368,January,2,23,0
53,8.114360369,0.115029238,4.416897272,189.9435433,7.81E-107,3.338094509,Colorless,0.053864649,1.260913074,0.220516732,1.848643959,66.1821126,738.7839261,2.587877033,0.000627448,184.3126293,River,33.31371582,9.541409811,August,23,8,0
54,8.008002831,0.112823268,5.927696415,148.243457,3.48E-48,1.879014308,Near Colorless,0.238788676,0.63686531,0.986496963,2.986932207,72.55628577,263.6360629,4.169012025,0.002000874,291.9996476,Aquifer,7.698898507,19.69237692,October,31,9,0
55,7.347032337,0.848170808,5.230061881,170.2754502,9.57E-15,1.350005058,Yellow,0.647870775,2.268661469,0.017110881,3.526423883,99.09065169,540.9248092,2.442585371,0.006729186,277.2934764,Well,23.87311338,66.13957732,March,2,8,0
56,8.434577668,0.000181591,,149.6777762,2.10E-76,0.314769399,Colorless,6.04E-05,1.086360466,0.97359049,2.137920032,110.3935469,270.5701816,2.467000713,1.88E-10,280.5476958,Well,28.22391149,76.47802391,October,5,0,0
57,6.528361001,9.03E-06,1.949629622,145.6339032,1.78E-12,0.928103977,Faint Yellow,0.659458031,0.631840697,0.629713376,2.497858991,198.1081045,192.3315829,3.147568298,0.015697554,387.7423301,Stream,19.52162228,71.73397037,March,2,6,0
58,7.572927782,0.000448654,,188.3127139,4.46E-32,0.224200321,Colorless,0.231018196,1.836746333,0.045617381,0.442870802,199.0965614,369.8356419,2.561836272,5.49E-09,86.00864464,Well,19.79592161,57.14658664,November,13,23,0
59,7.996271774,2.05E-31,6.879820332,92.84308348,2.36E-155,0.333334366,Colorless,0.011012607,2.014248947,0.657660481,0.46655264,204.6676955,690.8699756,3.289865555,0.008625967,352.7715345,River,16.19257439,73.13277954,July,4,0,0
60,8.277861898,1.673820062,11.08486627,205.5123821,1.49E-25,2.498498998,Yellow,0.695709292,4.54059223,1.27708208,0.394941714,100.3798695,438.608682,2.820242057,0.028294972,40.18197845,River,8.308328967,59.91187866,September,5,20,0
61,6.742295375,0.003071269,6.085856786,247.3919022,4.37E-66,2.711420283,Light Yellow,0.013142163,0.278589683,0.064857066,3.006788204,157.062633,324.348948,4.01084552,0.00697184,375.6482708,River,8.678587609,73.83466213,December,21,17,0
62,7.174292314,0.000450845,3.58417819,114.5843697,7.80E-143,1.120232522,Faint Yellow,0.007581968,1.608846964,0.025924839,1.482338354,106.5607812,471.9729562,4.104688836,0.001199041,85.16018148,Well,30.21617562,75.30422897,October,24,5,0
63,8.005993666,0.000953968,7.619154082,178.553189,2.07E-66,1.923579332,Near Colorless,0.178281028,0.673207293,0.090387268,2.314588109,172.8487724,367.542106,2.534193032,3.09E-07,92.74860288,Ground,12.55729592,91.37140192,April,10,14,0
64,8.19440644,0.003387248,8.34454114,248.043661,2.41E-71,1.993738346,Near Colorless,0.019442482,0.355717312,0.362046386,0.773057234,63.51831133,207.2540395,3.781047008,2.22E-05,297.6212268,Spring,15.78676421,35.65313745,January,2,19,0
65,8.203270966,3.71E-06,8.204098968,131.9737069,3.87E-82,1.983201755,Near Colorless,0.004430397,0.837442154,0.249808623,0.516742571,95.54982058,460.5653977,2.12071124,0.037803151,293.1570827,Well,18.75345674,49.82153079,May,19,19,0
66,6.563512313,,5.072209628,187.3091707,1.83E-68,0.301904242,Colorless,0.500157905,0.74031589,0.391027649,,222.9325658,289.5535933,4.138511637,0.011891016,392.8120671,Ground,,36.50515143,October,23,22,0
67,8.382024477,0.013913668,3.070844879,,4.72E-09,0.485590379,Colorless,0.045305851,1.831638548,0.058853952,0.782652597,69.58311057,545.7133767,3.059586399,0.000392713,456.5334436,Ground,8.200886172,81.76820826,April,1,16,0
68,7.509826336,4.05E-05,9.710039853,158.2201317,1.93E-73,0.077263638,Colorless,1.055809624,,0.001366743,2.244444792,137.933399,213.515519,2.676003027,0.000116786,496.0652368,Aquifer,40.10753484,62.8529473,April,19,1,0
69,6.509417406,1.38E-06,9.938833261,156.2511213,1.45E-72,0.025920473,Near Colorless,0.09808918,1.079495259,0.781213825,1.246429327,191.6979496,644.2224812,3.024076467,0.002124739,3.579388731,Aquifer,20.01076464,50.00186731,September,20,7,0
70,7.583946163,0.065493181,4.469387245,162.6636558,3.07E-103,0.054846813,Colorless,0.201997577,1.114830386,0.2115857,1.673887337,113.1052049,292.7648054,3.416983832,6.77E-06,345.9749736,Lake,16.59753865,63.65386185,April,17,17,0
71,6.946186344,6.25E-06,6.085494322,178.7243839,5.30E-38,0.885939987,Near Colorless,0.004319044,0.390461315,0.195479492,1.6843678,114.3818051,432.3212191,3.04997223,8.12E-09,333.5836336,Ground,11.8239863,80.95366203,June,17,6,0
72,6.605370268,0.000560493,1.339279503,113.4595654,1.97E-08,0.540716007,Near Colorless,0.227006546,0.431933064,0.944459802,1.132482205,117.5619241,494.8529592,2.51827806,2.86E-05,60.58522655,Ground,13.85684971,47.11167679,September,13,20,0
73,6.598732171,2.19E-08,5.746585621,128.3812673,5.35E-154,1.571848785,Near Colorless,0.138771733,0.58759751,0.483260895,0.84089079,101.3941784,296.5296749,2.92851417,0.000179809,456.4167065,Reservoir,6.334083759,64.55519297,December,1,2,0
74,6.938338577,0.006784488,4.052444927,162.3290868,2.66E-135,1.255607608,Light Yellow,0.399863075,0.818453924,,1.671006604,66.83809996,473.779443,3.292080559,0.004283755,143.3099241,Lake,24.60245622,75.56751327,June,1,4,0
75,7.00906841,0.000674535,8.638936471,118.5023251,7.25E-24,,Faint Yellow,0.117579246,1.137975633,0.208441171,1.700291685,52.76565651,348.4952629,2.601354028,0.00516653,280.7453219,Lake,30.81057351,81.98222592,November,17,23,0
76,7.07614264,1.55E-05,7.259789111,233.8774452,8.19E-17,1.57941826,Near Colorless,0.005375085,0.477741117,0.613079228,1.017486247,84.9068974,274.2201088,2.479957205,0.015629513,257.5473068,Lake,10.64823891,60.32150602,April,16,3,0
77,7.555391403,0.124929517,1.396375196,206.9520793,1.55E-154,2.089937072,Near Colorless,0.68587442,1.297683497,0.147555122,2.214537619,229.4827605,,3.093159274,0.000868907,431.9707349,Well,8.826794013,55.11915742,September,21,13,0
78,5.377126339,4.98E-09,9.669692613,125.7223478,1.11E-10,2.795255762,Faint Yellow,0.014702397,0.384311295,0.300412304,2.556487804,92.85855225,404.8749172,3.730874494,0.020947722,484.7552502,Stream,77.85912886,52.85104389,March,27,11,0
79,6.823655469,0.289861824,10.02409492,115.3786949,9.62E-21,0.226382978,Colorless,0.158840717,0.608520192,0.013887635,2.105974532,80.45727106,148.438442,3.001708107,2.29E-10,98.40084891,Lake,10.11940278,46.43044666,February,15,9,0
80,7.158338548,0.026001753,5.197514249,237.6343098,2.04E-20,2.492560012,Colorless,0.818244931,0.522023921,0.447178855,1.513880262,123.0835785,1021.502291,2.803504774,0.014556638,319.8588777,Reservoir,16.25446967,67.93832643,August,17,2,0
81,6.735242311,0.813188077,5.492245591,117.2930104,5.15E-26,3.84710891,Colorless,0.066189125,1.250290646,0.530982992,0.459061732,138.3286203,390.9759903,2.364011073,1.14E-06,88.3360681,,23.23450438,67.80433969,January,,13,0
82,7.452954919,0.082662694,4.737504921,224.3704234,1.07E-15,0.311613391,Yellow,0.101998766,2.675461643,0.419830968,1.157133097,86.99319258,567.6647548,4.722377025,0.000365161,373.5264918,Aquifer,37.28756636,33.2612771,April,7,8,0
83,7.805978647,0.00021865,3.053412613,226.0318446,2.43E-85,1.19858933,Near Colorless,0.531465824,0.204523659,0.259784102,2.304983674,151.6543558,926.9897071,3.590942937,0.002683772,250.2873471,Stream,10.06117621,31.84157188,November,25,8,0
84,8.301319517,0.081483128,8.390963854,166.4252104,2.05E-43,0.095555538,Colorless,2.338315452,0.325893039,1.517856719,3.490105503,77.55823837,333.4128055,2.841848948,0.257302759,351.1210304,Spring,22.05674145,46.06265562,February,8,2,0
85,6.735629132,0.000850302,9.883065163,227.0944338,1.36E-275,0.283424806,Near Colorless,0.670960527,0.713574587,0.65373621,2.532927284,156.2026379,702.9616844,3.74059064,1.29E-08,62.41282989,Lake,10.38148636,65.64626349,December,1,23,0
86,7.464118929,0.000608486,2.284686731,191.0675891,2.19E-11,4.285339838,Light Yellow,0.045379839,0.203731026,0.908933265,0.323536445,206.9584596,219.3394199,3.526526442,0.000120794,63.49635548,Stream,18.6957506,72.84973511,July,10,8,0
87,6.83654437,0.006887591,7.885546181,165.6179211,2.78E-51,0.691612612,Colorless,0.856723607,0.453603484,0.08749683,0.726262798,208.1419755,525.7631229,2.302668874,4.60E-09,499.8973058,Reservoir,15.09066888,55.9814888,October,10,16,0
88,7.525706053,0.017584837,3.061654637,139.3115999,6.02E-22,0.648054978,Colorless,0.129410256,0.827583507,0.969756725,2.082138847,198.7645422,512.3805832,2.748443632,0.048906569,60.81669215,Ground,16.57014842,84.99046944,November,1,9,0
89,6.155759407,0.0285138,10.96393482,246.2989219,8.79E-19,5.264842331,Faint Yellow,0.324222408,0.805349076,1.496974605,2.601942795,219.9102375,290.0266595,2.572281932,0.000165408,270.2854261,Stream,,52.43412393,November,6,21,0
90,5.812625959,0.000106191,3.032464151,199.0842815,4.12E-114,0.951397939,Faint Yellow,1.613035132,0.029181093,0.215240308,3.257457827,142.809599,304.0748168,2.374634868,0.184848336,188.7868808,Ground,9.818648722,41.81458256,January,8,0,0
91,5.569066986,0.277571783,8.484455613,137.3890273,7.58E-40,,Yellow,2.273295513,3.157741943,0.354272482,1.152372178,132.9156283,130.9936465,3.312373469,0.001209002,415.5684224,River,5.847498333,46.21717206,December,31,16,0
92,8.181562471,9.36E-06,4.735700673,168.6073336,1.65E-75,0.307821098,Colorless,0.157564798,0.625396301,1.034541565,0.288262549,75.52341554,328.635413,3.39654967,0.017150903,144.5035977,Reservoir,18.15264843,41.39919493,July,23,15,0
93,7.493889387,0.000782903,2.65641231,240.9962865,1.13E-57,0.983375928,Light Yellow,0.236449603,1.641504538,0.216574023,2.579750617,123.3737155,154.8684595,3.094830971,0.000477698,111.1747901,Ground,21.5959488,63.50441437,February,6,12,0
94,6.514210882,0.000481721,8.77436016,204.8722099,1.41E-74,0.539078011,Near Colorless,0.359330573,1.565839904,0.257310064,,209.0103336,539.4365977,2.226427954,2.36E-06,492.6777238,River,14.88007206,74.71046125,April,12,10,0
95,8.274537826,0.019678034,3.905647613,199.219252,3.17E-91,0.608930778,Faint Yellow,0.059489833,0.653924198,0.97998423,1.870686754,67.58979297,650.9880945,2.719370413,0.014544746,169.7314006,Well,8.4495058,57.04990091,,22,7,0
96,8.300579045,0.305131798,4.835235396,215.5392059,1.14E-243,0.683130173,Faint Yellow,0.559534155,1.183628956,0.055338607,1.616478506,107.6601862,473.1529206,3.046647198,0.005492121,123.2753414,Spring,5.117430596,68.18070915,April,13,18,0
97,7.514003195,5.73E-12,4.950644324,168.7660122,1.79E-65,2.726961114,Near Colorless,0.01227236,0.926662986,0.248749626,1.450225251,186.1032266,315.2512403,2.936580989,0.000382766,342.1696077,Well,16.57005767,52.10555013,August,13,2,0
98,5.8119097,3.145390222,3.509510019,237.989137,9.69E-52,2.524989274,Light Yellow,0.261722799,3.684809687,1.050117796,1.504206211,155.6221657,533.8741853,3.693343244,0.00015333,269.9597199,Stream,11.7148957,62.01849263,December,25,10,0
99,5.112710425,0.008343983,4.877838602,168.9936805,0.261722181,5.087519632,Yellow,0.408679344,0.280806913,0.395167149,3.843564094,216.6695378,374.6527585,4.390235424,0.000609726,209.5490358,Lake,76.57755715,61.86700228,September,25,16,0
100,8.512029471,2.86E-06,4.750472964,354.8639333,7.83E-88,3.963996604,Faint Yellow,0.000629402,0.033631665,1.020142605,1.703531059,128.4778696,349.6100669,3.157610219,1.93E-11,307.3572329,River,38.97646396,55.8073275,June,15,10,0
101,7.459435462,0.025678187,12.3741731,168.4930234,0.003610128,0.21953222,Colorless,0.00907316,0.247772883,3.09426628,1.02215708,103.8330461,426.5359984,2.473935746,0.30116949,401.8635201,Lake,13.33072837,63.80416591,November,30,0,0
102,8.196043,8.13E-06,4.048878393,149.6683156,0.001785211,0.362227177,Near Colorless,0.001447524,0.705520582,0.328041909,0.672124343,147.5511944,390.4809035,3.570573925,2.93E-05,152.7119597,Ground,10.18352816,67.13411514,July,29,17,0
103,6.749985982,4.50E-08,5.146556404,157.7585742,5.44E-67,0.047664476,Faint Yellow,0.253823088,3.279391968,4.302917571,1.470351306,91.9510828,706.2299099,4.439996897,1.59E-05,125.75959,River,,69.90469166,May,15,19,0
104,7.377951525,0.001580587,2.525136275,206.8953975,3.76E-83,1.553415556,Colorless,0.794535659,0.87616298,0.469198124,2.511290723,166.0106777,397.1956664,2.737648203,0.007972161,135.0898209,River,28.7213262,42.14582625,September,12,4,0
105,7.112497921,0.007031911,2.575097311,209.2196849,6.11E-104,2.483177505,Near Colorless,0.008072587,0.455627911,0.499479149,1.892111162,96.0191664,196.6899703,3.033682832,2.07E-09,297.414614,Lake,7.005818191,54.33454137,October,7,20,0
106,6.810137153,0.208011692,4.255286976,181.5201172,9.59E-56,1.590160363,Colorless,0.315355701,0.275609418,0.96850572,0.049373973,197.6535486,500.9961575,2.614883665,0.003185853,481.2347436,Well,11.7866775,31.27048936,October,30,4,0
107,7.288114759,1.63E-06,2.739724811,181.7850075,1.58E-66,3.10370386,Near Colorless,1.01253696,0.571950286,0.154613754,2.839839269,43.32306845,552.9000338,4.079514917,1.28E-07,40.96020068,Ground,13.89947716,33.10802416,July,18,11,0
108,8.29460552,0.000221262,9.643369778,109.017351,4.39E-10,2.342743841,Near Colorless,0.093799898,0.180486144,0.252056099,2.278260312,67.88901501,708.8458247,2.942130377,0.000893308,232.4897345,Ground,14.02241165,48.34948021,February,19,18,0
109,7.944835009,4.56E-05,5.651637605,99.54983774,2.23E-07,2.890870022,Colorless,0.057277111,0.890011567,0.700310179,0.601272413,189.9665299,564.8172427,3.948682373,3.65E-07,298.7106339,Well,18.57335053,67.02285091,December,,10,0
110,8.161208289,8.48E-08,6.895349984,106.2593461,3.21E-287,3.721279722,Colorless,1.047783404,1.160984299,0.064883284,1.524209315,178.055593,467.6121702,3.791885752,9.02E-07,283.9896935,Reservoir,8.208487036,63.89541465,December,6,3,0
111,7.325354239,4.86E-12,5.313846909,201.6159546,1.04E-118,0.278886352,Faint Yellow,0.190461013,0.23416437,0.461745187,0.575568809,215.9116351,578.4659017,3.17789164,0.00302183,195.5060438,Ground,13.61320219,66.27481847,August,7,14,0
